,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_11_normalized,smart_12_normalized,smart_13_normalized,smart_15_normalized,smart_22_normalized,smart_183_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_189_normalized,smart_190_normalized,smart_191_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized,smart_200_normalized,smart_201_normalized,smart_220_normalized,smart_222_normalized,smart_223_normalized,smart_224_normalized,smart_225_normalized,smart_226_normalized,smart_240_normalized,smart_241_normalized,smart_242_normalized,smart_250_normalized,smart_251_normalized,smart_252_normalized,smart_254_normalized,smart_255_normalized
83,2016-01-01,Z1Z0432J,ST4000DX000,1.976651427858e-311,0,105,,91,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,67.0,100.0,100.0,100.0,33.0,54.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
411,2016-01-01,Z1Z06H5C,ST4000DX000,1.976651427858e-311,0,113,,91,100,100,86,,97,100,,100,,,,100.0,100.0,100.0,100.0,99.0,79.0,100.0,100.0,100.0,21.0,59.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
541,2016-01-01,Z1Z059JT,ST4000DX000,1.976651427858e-311,0,119,,90,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,85.0,67.0,100.0,100.0,100.0,33.0,59.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
551,2016-01-01,Z1Z059JQ,ST4000DX000,1.976651427858e-311,0,119,,91,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,61.0,100.0,100.0,100.0,39.0,34.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
856,2016-01-01,Z1Z02TSF,ST4000DX000,1.976651427858e-311,0,119,,90,100,100,86,,97,100,,100,,,,100.0,100.0,100.0,100.0,100.0,79.0,100.0,100.0,100.0,21.0,37.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
906,2016-01-01,Z1Z04CJ9,ST4000DX000,1.976651427858e-311,0,115,,90,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,68.0,100.0,100.0,100.0,32.0,55.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
908,2016-01-01,Z1Z0546D,ST4000DX000,1.976651427858e-311,0,111,,91,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,100.0,65.0,100.0,100.0,100.0,35.0,54.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
909,2016-01-01,Z1Z03EGR,ST4000DX000,1.976651427858e-311,0,114,,90,100,100,95,,72,100,,100,,,,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,29.0,55.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
911,2016-01-01,Z1Z0546N,ST4000DX000,1.976651427858e-311,0,118,,91,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,62.0,100.0,100.0,100.0,38.0,59.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
1466,2016-01-01,Z1Z03FTJ,ST4000DX000,1.976651427858e-311,0,113,,90,100,100,95,,72,100,,100,,,,100.0,100.0,100.0,100.0,97.0,66.0,100.0,100.0,100.0,34.0,56.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
2855,2016-01-01,Z1Z0373X,ST4000DX000,1.976651427858e-311,0,114,,90,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,66.0,100.0,100.0,100.0,34.0,55.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
2915,2016-01-01,Z1Z03J9E,ST4000DX000,1.976651427858e-311,0,118,,91,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,94.0,64.0,100.0,100.0,100.0,36.0,54.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
2918,2016-01-01,Z1Z03PYX,ST4000DX000,1.976651427858e-311,0,119,,90,100,100,94,,74,100,,100,,,,100.0,100.0,100.0,100.0,99.0,68.0,100.0,100.0,100.0,32.0,59.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
3263,2016-01-01,Z1Z03ERE,ST4000DX000,1.976651427858e-311,0,119,,90,100,100,95,,72,100,,100,,,,100.0,100.0,100.0,100.0,100.0,68.0,100.0,100.0,100.0,32.0,56.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
3707,2016-01-01,Z1Z04EJR,ST4000DX000,1.976651427858e-311,0,115,,90,100,100,86,,97,100,,100,,,,100.0,100.0,100.0,100.0,100.0,74.0,100.0,100.0,100.0,26.0,60.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
3795,2016-01-01,Z1Z04PP1,ST4000DX000,1.976651427858e-311,0,114,,91,100,100,86,,97,100,,100,,,,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,25.0,54.0,,100,100,200,,,,,,,,,100.0,100.0,100.0,,,,,
