,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_11_normalized,smart_12_normalized,smart_13_normalized,smart_15_normalized,smart_22_normalized,smart_183_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_189_normalized,smart_190_normalized,smart_191_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized,smart_200_normalized,smart_201_normalized,smart_220_normalized,smart_222_normalized,smart_223_normalized,smart_224_normalized,smart_225_normalized,smart_226_normalized,smart_240_normalized,smart_241_normalized,smart_242_normalized,smart_250_normalized,smart_251_normalized,smart_252_normalized,smart_254_normalized,smart_255_normalized
756,2016-01-01,WD-WCC4M7FXTYJZ,WDC WD20EFRX,9.88328391275e-312,0,200,,174,100,200,100,,98,100,100.0,100,,,,,,,,,,,200.0,200.0,123.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
1492,2016-01-01,WD-WMC4M2889605,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,86,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
1730,2016-01-01,WD-WCC4M6EFNKX7,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,124.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
2027,2016-01-01,WD-WCC4M7UYX7J3,WDC WD20EFRX,9.88328391275e-312,0,200,,172,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,122.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
2097,2016-01-01,WD-WCC4M3TTXLXD,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,126.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
2912,2016-01-01,WD-WCC4M1PCLF4N,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
4442,2016-01-01,WD-WCC4MPP40KPW,WDC WD20EFRX,9.88328391275e-312,0,200,,175,100,200,100,,89,100,100.0,100,,,,,,,,,,,200.0,200.0,118.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
4706,2016-01-01,WD-WCC4M7FXT472,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,98,100,100.0,100,,,,,,,,,,,200.0,200.0,116.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
4905,2016-01-01,WD-WCC4M7FXT6VV,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,99,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
5240,2016-01-01,WD-WCC4M3TTXF1Y,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,128.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
5890,2016-01-01,WD-WCC4M7UYX5AF,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,92,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6087,2016-01-01,WD-WCC4M7FXTNFY,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,99,100,100.0,100,,,,,,,,,,,200.0,200.0,120.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6608,2016-01-01,WD-WCC4M7FXT216,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,97,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6644,2016-01-01,WD-WCC4M7UYXSFS,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,93,100,100.0,100,,,,,,,,,,,200.0,200.0,116.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6663,2016-01-01,WD-WCC4MNDZA0DA,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,90,100,100.0,100,,,,,,,,,,,200.0,200.0,125.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6689,2016-01-01,WD-WCC4M7DL779N,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,95,100,100.0,100,,,,,,,,,,,200.0,200.0,130.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
6864,2016-01-01,WD-WCC4M1NDJF1K,WDC WD20EFRX,9.88328391275e-312,0,200,,100,100,200,100,,94,100,100.0,100,,,,,,,,,,,200.0,200.0,119.0,,200.0,200,100,200,100.0,,,,,,,,,,,,,,,
